street,coordinates
,"[(56.2038387, 54.7759439), (56.2039777, 54.777609), (56.2035892, 54.7778077)]"
,"[(56.2035892, 54.7778077), (56.2049364, 54.7786117)]"
,"[(56.2035892, 54.7778077), (56.2032426, 54.7776008), (56.2029387, 54.7773857)]"
,"[(56.2035892, 54.7778077), (56.2039777, 54.777609), (56.2038387, 54.7759439)]"
,"[(56.2029387, 54.7773857), (56.2011915, 54.776149)]"
,"[(56.2029387, 54.7773857), (56.2028191, 54.7760403)]"
,"[(56.2029387, 54.7773857), (56.2032426, 54.7776008), (56.2035892, 54.7778077)]"
,"[(56.2028191, 54.7760403), (56.2029387, 54.7773857)]"
,"[(56.2015729, 54.7781473), (56.2016089, 54.7782104), (56.2018142, 54.7784288)]"
,"[(56.2015729, 54.7781473), (56.2008948, 54.7772), (56.199971, 54.7761392)]"
,"[(56.2015729, 54.7781473), (56.2020723, 54.7779104), (56.2017725, 54.7777295), (56.201505, 54.7773118), (56.2003033, 54.7759872)]"
,"[(56.2003033, 54.7759872), (56.199971, 54.7761392)]"
,"[(56.2003033, 54.7759872), (56.2004626, 54.7759143)]"
,"[(56.2003033, 54.7759872), (56.201505, 54.7773118), (56.2017725, 54.7777295), (56.2020723, 54.7779104), (56.2015729, 54.7781473)]"
,"[(56.2018142, 54.7784288), (56.2005555, 54.7781785)]"
,"[(56.2018142, 54.7784288), (56.2024907, 54.7785742), (56.2033623, 54.7787403), (56.2049211, 54.7790596), (56.205871, 54.77926)]"
,"[(56.2018142, 54.7784288), (56.2016089, 54.7782104), (56.2015729, 54.7781473)]"
,"[(56.1986128, 54.7756757), (56.1982247, 54.7749941)]"
,"[(56.1986128, 54.7756757), (56.1989357, 54.7764153), (56.1990308, 54.77661)]"
,"[(56.1986128, 54.7756757), (56.1984895, 54.7757204), (56.1980952, 54.7768155), (56.1978069, 54.7777375), (56.1977625, 54.7779491)]"
,"[(56.1975011, 54.7742948), (56.197759, 54.7744592)]"
,"[(56.2005555, 54.7781785), (56.2018142, 54.7784288)]"
,"[(56.2005555, 54.7781785), (56.2002464, 54.7781096), (56.2000251, 54.7780701), (56.1993156, 54.7780168), (56.1990683, 54.7779848)]"
,"[(56.2005555, 54.7781785), (56.1997708, 54.7770026), (56.199727, 54.7769498), (56.1990721, 54.7768624)]"
,"[(56.1990721, 54.7768624), (56.1990741, 54.776817), (56.1990308, 54.77661)]"
,"[(56.1990721, 54.7768624), (56.1990602, 54.7771336), (56.1990917, 54.7774653), (56.1990852, 54.7779267), (56.1990683, 54.7779848)]"
,"[(56.1990721, 54.7768624), (56.199727, 54.7769498), (56.1997708, 54.7770026), (56.2005555, 54.7781785)]"
,"[(56.1990917, 54.77513), (56.199971, 54.7761392)]"
,"[(56.2041025, 54.774958), (56.2009974, 54.7755815), (56.2004626, 54.7759143)]"
,"[(56.203047, 54.7744447), (56.2000603, 54.7751354)]"
,"[(56.1996743, 54.774796), (56.2000603, 54.7751354)]"
,"[(56.1996743, 54.774796), (56.1991818, 54.7743448)]"
,"[(56.1996743, 54.774796), (56.2025324, 54.7740107), (56.2031166, 54.773877), (56.2034159, 54.7738324), (56.2031745, 54.7733089)]"
,"[(56.2000603, 54.7751354), (56.203047, 54.7744447)]"
,"[(56.2000603, 54.7751354), (56.1996743, 54.774796)]"
,"[(56.2000603, 54.7751354), (56.19984, 54.7751864), (56.1998102, 54.7752837), (56.2004626, 54.7759143)]"
,"[(56.1991818, 54.7743448), (56.1996743, 54.774796)]"
,"[(56.1991818, 54.7743448), (56.1987231, 54.7738881)]"
,"[(56.1991818, 54.7743448), (56.2029476, 54.7733813), (56.2031745, 54.7733089)]"
,"[(56.1987231, 54.7738881), (56.1991818, 54.7743448)]"
,"[(56.1987231, 54.7738881), (56.1985001, 54.7736907)]"
,"[(56.1987231, 54.7738881), (56.2008909, 54.7733395), (56.2023779, 54.7729301), (56.2024932, 54.7728297)]"
,"[(56.1977479, 54.7730248), (56.1985001, 54.7736907)]"
,"[(56.1977479, 54.7730248), (56.1970865, 54.7723871)]"
,"[(56.1977479, 54.7730248), (56.1982403, 54.7728466), (56.1989935, 54.7726684), (56.1998432, 54.7724205), (56.2008475, 54.7721559), (56.2009923, 54.7720418)]"
,"[(56.2009923, 54.7720418), (56.2009066, 54.7720158)]"
,"[(56.2009923, 54.7720418), (56.2018073, 54.7723784)]"
,"[(56.2009923, 54.7720418), (56.2008475, 54.7721559), (56.1998432, 54.7724205), (56.1989935, 54.7726684), (56.1982403, 54.7728466), (56.1977479, 54.7730248)]"
,"[(56.1981199, 54.77481), (56.1982247, 54.7749941)]"
,"[(56.1981199, 54.77481), (56.1980916, 54.7747604), (56.1978517, 54.7745183), (56.197759, 54.7744592)]"
,"[(56.1981199, 54.77481), (56.1956474, 54.7748016), (56.1954711, 54.7750574), (56.1958054, 54.7751403), (56.1957654, 54.7752901), (56.1955618, 54.7759083), (56.1953338, 54.7765241), (56.1951848, 54.7770189), (56.1950497, 54.7774171), (56.194994, 54.7776135), (56.1949537, 54.7778152), (56.1949478, 54.7779695)]"
,"[(56.1956474, 54.7745243), (56.1965931, 54.7745428), (56.197759, 54.7744592)]"
,"[(56.197759, 54.7744592), (56.1975011, 54.7742948)]"
,"[(56.197759, 54.7744592), (56.1978517, 54.7745183), (56.1980916, 54.7747604), (56.1981199, 54.77481)]"
,"[(56.197759, 54.7744592), (56.1965931, 54.7745428), (56.1956474, 54.7745243)]"
,"[(56.1990683, 54.7779848), (56.1984551, 54.7779523)]"
,"[(56.1990683, 54.7779848), (56.1990852, 54.7779267), (56.1990917, 54.7774653), (56.1990602, 54.7771336), (56.1990721, 54.7768624)]"
,"[(56.1990683, 54.7779848), (56.1993156, 54.7780168), (56.2000251, 54.7780701), (56.2002464, 54.7781096), (56.2005555, 54.7781785)]"
,"[(56.1905887, 54.7773175), (56.1901474, 54.7771221)]"
,"[(56.1905887, 54.7773175), (56.1908925, 54.7774564), (56.191651, 54.7776947), (56.1920648, 54.7777596), (56.1924446, 54.7777941), (56.1930061, 54.7778293)]"
,"[(56.1905887, 54.7773175), (56.1906666, 54.7772191), (56.1908106, 54.777078), (56.1913039, 54.7767427), (56.1919627, 54.7762608), (56.1941432, 54.774666), (56.1950449, 54.7740051)]"
,"[(56.1950449, 54.7740051), (56.1941432, 54.774666), (56.1919627, 54.7762608), (56.1913039, 54.7767427), (56.1908106, 54.777078), (56.1906666, 54.7772191), (56.1905887, 54.7773175)]"
,"[(56.1984551, 54.7779523), (56.1990683, 54.7779848)]"
,"[(56.1984551, 54.7779523), (56.1977625, 54.7779491)]"
,"[(56.1984551, 54.7779523), (56.198817, 54.776666), (56.1988449, 54.7766253), (56.1988865, 54.7766098), (56.1990308, 54.77661)]"
,"[(56.1990308, 54.77661), (56.1989357, 54.7764153), (56.1986128, 54.7756757)]"
,"[(56.1990308, 54.77661), (56.1990741, 54.776817), (56.1990721, 54.7768624)]"
,"[(56.1990308, 54.77661), (56.1988865, 54.7766098), (56.1988449, 54.7766253), (56.198817, 54.776666), (56.1984551, 54.7779523)]"
,"[(56.1977625, 54.7779491), (56.1984551, 54.7779523)]"
,"[(56.1977625, 54.7779491), (56.1970226, 54.7779335)]"
,"[(56.1977625, 54.7779491), (56.1978069, 54.7777375), (56.1980952, 54.7768155), (56.1984895, 54.7757204), (56.1986128, 54.7756757)]"
,"[(56.1970226, 54.7779335), (56.1977625, 54.7779491)]"
,"[(56.1970226, 54.7779335), (56.196724, 54.7779515), (56.196308, 54.7779597)]"
,"[(56.1970226, 54.7779335), (56.197597, 54.7762966), (56.19801, 54.7750865), (56.1982247, 54.7749941)]"
,"[(56.1982247, 54.7749941), (56.1981199, 54.77481)]"
,"[(56.1982247, 54.7749941), (56.1986128, 54.7756757)]"
,"[(56.1982247, 54.7749941), (56.19801, 54.7750865), (56.197597, 54.7762966), (56.1970226, 54.7779335)]"
,"[(56.196308, 54.7779597), (56.1956176, 54.7779556)]"
,"[(56.196308, 54.7779597), (56.196724, 54.7779515), (56.1970226, 54.7779335)]"
,"[(56.196308, 54.7779597), (56.1965449, 54.7772085), (56.1967844, 54.7765156), (56.1972507, 54.7751672)]"
,"[(56.1972507, 54.7751672), (56.1967844, 54.7765156), (56.1965449, 54.7772085), (56.196308, 54.7779597)]"
,"[(56.1956176, 54.7779556), (56.196308, 54.7779597)]"
,"[(56.1956176, 54.7779556), (56.1949478, 54.7779695)]"
,"[(56.1956176, 54.7779556), (56.1958706, 54.7770319), (56.1960651, 54.7764618), (56.196538, 54.7751595)]"
,"[(56.196538, 54.7751595), (56.1960651, 54.7764618), (56.1958706, 54.7770319), (56.1956176, 54.7779556)]"
,"[(56.1949478, 54.7779695), (56.1956176, 54.7779556)]"
,"[(56.1949478, 54.7779695), (56.1944649, 54.7779622), (56.1940841, 54.7779414), (56.1936443, 54.7779051), (56.1930061, 54.7778293)]"
,"[(56.1949478, 54.7779695), (56.1949537, 54.7778152), (56.194994, 54.7776135), (56.1950497, 54.7774171), (56.1951848, 54.7770189), (56.1953338, 54.7765241), (56.1955618, 54.7759083), (56.1957654, 54.7752901), (56.1958054, 54.7751403), (56.1954711, 54.7750574), (56.1956474, 54.7748016), (56.1981199, 54.77481)]"
,"[(56.1948897, 54.7760249), (56.1938982, 54.777155), (56.1935529, 54.7775441), (56.1934886, 54.7775704), (56.1933759, 54.7775642), (56.1932686, 54.7775403), (56.1929137, 54.7775032)]"
,"[(56.1930061, 54.7778293), (56.1936443, 54.7779051), (56.1940841, 54.7779414), (56.1944649, 54.7779622), (56.1949478, 54.7779695)]"
,"[(56.1930061, 54.7778293), (56.1924446, 54.7777941), (56.1920648, 54.7777596), (56.191651, 54.7776947), (56.1908925, 54.7774564), (56.1905887, 54.7773175)]"
,"[(56.1930061, 54.7778293), (56.1928658, 54.7777087), (56.1928831, 54.7775336)]"
,"[(56.1948929, 54.7750712), (56.1943392, 54.7758043), (56.1936405, 54.7766159), (56.193266, 54.7770605), (56.1929137, 54.7775032)]"
,"[(56.1970865, 54.7723871), (56.1977479, 54.7730248)]"
,"[(56.1970865, 54.7723871), (56.1977672, 54.7721169), (56.19853, 54.7718774), (56.1989452, 54.7714207)]"
,"[(56.1970865, 54.7723871), (56.1965023, 54.7717243), (56.196145, 54.7714124), (56.1958896, 54.7709992)]"
,"[(56.1989452, 54.7714207), (56.1995356, 54.7715998)]"
,"[(56.1989452, 54.7714207), (56.1958896, 54.7709992)]"
,"[(56.1989452, 54.7714207), (56.19853, 54.7718774), (56.1977672, 54.7721169), (56.1970865, 54.7723871)]"
,"[(56.1958896, 54.7709992), (56.1989452, 54.7714207)]"
,"[(56.1958896, 54.7709992), (56.196145, 54.7714124), (56.1965023, 54.7717243), (56.1970865, 54.7723871)]"
,"[(56.1958896, 54.7709992), (56.195524, 54.7708882), (56.1955203, 54.7707985), (56.1955171, 54.7707193), (56.1956914, 54.7705424), (56.1958935, 54.7702046), (56.1964233, 54.7702448)]"
,"[(56.2026242, 54.7727157), (56.2024932, 54.7728297)]"
,"[(56.2026242, 54.7727157), (56.2024763, 54.7726546)]"
,"[(56.2026242, 54.7727157), (56.2030299, 54.7728774)]"
,"[(56.2031745, 54.7733089), (56.2030925, 54.7731167), (56.2024932, 54.7728297)]"
,"[(56.2031745, 54.7733089), (56.2034159, 54.7738324), (56.2031166, 54.773877), (56.2025324, 54.7740107), (56.1996743, 54.774796)]"
,"[(56.2031745, 54.7733089), (56.2029476, 54.7733813), (56.1991818, 54.7743448)]"
,"[(56.2024932, 54.7728297), (56.2026242, 54.7727157)]"
,"[(56.2024932, 54.7728297), (56.2023779, 54.7729301), (56.2008909, 54.7733395), (56.1987231, 54.7738881)]"
,"[(56.2024932, 54.7728297), (56.2030925, 54.7731167), (56.2031745, 54.7733089)]"
,"[(56.2020984, 54.7724986), (56.2024763, 54.7726546)]"
,"[(56.2020984, 54.7724986), (56.2018073, 54.7723784)]"
,"[(56.2020984, 54.7724986), (56.201921, 54.7727619), (56.1985001, 54.7736907)]"
,"[(56.1985001, 54.7736907), (56.1977479, 54.7730248)]"
,"[(56.1985001, 54.7736907), (56.1987231, 54.7738881)]"
,"[(56.1985001, 54.7736907), (56.201921, 54.7727619), (56.2020984, 54.7724986)]"
,"[(56.2018073, 54.7723784), (56.2020984, 54.7724986)]"
,"[(56.2018073, 54.7723784), (56.2009923, 54.7720418)]"
,"[(56.2018073, 54.7723784), (56.2023338, 54.7718075), (56.2028261, 54.7713816), (56.2043159, 54.7706866), (56.2057118, 54.770115)]"
,"[(56.2009066, 54.7720158), (56.2009923, 54.7720418)]"
,"[(56.2009066, 54.7720158), (56.1995356, 54.7715998)]"
,"[(56.2009066, 54.7720158), (56.2014852, 54.7715161), (56.2022755, 54.7707949)]"
,"[(56.2022755, 54.7707949), (56.2014852, 54.7715161), (56.2009066, 54.7720158)]"
,"[(56.1964233, 54.7702448), (56.1961793, 54.7706831), (56.1963745, 54.7707676), (56.1987239, 54.7710692), (56.1999229, 54.7713065)]"
,"[(56.1964233, 54.7702448), (56.1958935, 54.7702046), (56.1956914, 54.7705424), (56.1955171, 54.7707193), (56.1955203, 54.7707985), (56.195524, 54.7708882), (56.1958896, 54.7709992)]"
,"[(56.1964233, 54.7702448), (56.1990864, 54.7705987), (56.2005922, 54.7708762)]"
,"[(56.1964233, 54.7702448), (56.196484, 54.7701387), (56.1972363, 54.769972), (56.1979706, 54.7698783), (56.1982113, 54.7698991), (56.199078, 54.7700935), (56.1996197, 54.7702359), (56.2003238, 54.7704477), (56.2007847, 54.770584), (56.200808, 54.7707403), (56.2005922, 54.7708762)]"
,"[(56.1999229, 54.7713065), (56.1995356, 54.7715998)]"
,"[(56.1999229, 54.7713065), (56.1987239, 54.7710692), (56.1963745, 54.7707676), (56.1961793, 54.7706831), (56.1964233, 54.7702448)]"
,"[(56.1999229, 54.7713065), (56.2005015, 54.7709968), (56.2005922, 54.7708762)]"
,"[(56.1995356, 54.7715998), (56.2009066, 54.7720158)]"
,"[(56.1995356, 54.7715998), (56.1989452, 54.7714207)]"
,"[(56.1995356, 54.7715998), (56.1999229, 54.7713065)]"
,"[(56.2005922, 54.7708762), (56.2005015, 54.7709968), (56.1999229, 54.7713065)]"
,"[(56.2005922, 54.7708762), (56.1990864, 54.7705987), (56.1964233, 54.7702448)]"
,"[(56.2005922, 54.7708762), (56.200808, 54.7707403), (56.2007847, 54.770584), (56.2003238, 54.7704477), (56.1996197, 54.7702359), (56.199078, 54.7700935), (56.1982113, 54.7698991), (56.1979706, 54.7698783), (56.1972363, 54.769972), (56.196484, 54.7701387), (56.1964233, 54.7702448)]"
,"[(56.2079147, 54.7738709), (56.2072338, 54.7738877)]"
,"[(56.2079147, 54.7738709), (56.2079844, 54.773863)]"
,"[(56.2079147, 54.7738709), (56.2081517, 54.7748882), (56.2084167, 54.7754302)]"
,"[(56.2111354, 54.7705533), (56.210773, 54.77028), (56.2107209, 54.7702796)]"
,"[(56.2111354, 54.7705533), (56.2115258, 54.7707062), (56.2116443, 54.7711324), (56.211491, 54.7714783), (56.2118116, 54.7719085), (56.211728, 54.7721337), (56.2117001, 54.7724715), (56.2119162, 54.7728495), (56.2118253, 54.7728908)]"
,"[(56.2111354, 54.7705533), (56.210935, 54.7705938), (56.2108997, 54.7705932)]"
,"[(56.2057118, 54.770115), (56.2043733, 54.7691458), (56.2019891, 54.7705453)]"
,"[(56.2057118, 54.770115), (56.2064019, 54.7705091), (56.2086258, 54.7702638), (56.2086681, 54.7702641)]"
,"[(56.2057118, 54.770115), (56.2043159, 54.7706866), (56.2028261, 54.7713816), (56.2023338, 54.7718075), (56.2018073, 54.7723784)]"
,"[(56.2019891, 54.7705453), (56.2043733, 54.7691458), (56.2057118, 54.770115)]"
,"[(56.2107209, 54.7702796), (56.2096753, 54.7702717)]"
,"[(56.2107209, 54.7702796), (56.210773, 54.77028), (56.2111354, 54.7705533)]"
,"[(56.2107209, 54.7702796), (56.2102957, 54.7699343), (56.2086087, 54.768937), (56.2075281, 54.7683177), (56.2063918, 54.7676943)]"
,"[(56.2063918, 54.7676943), (56.2075281, 54.7683177), (56.2086087, 54.768937), (56.2102957, 54.7699343), (56.2107209, 54.7702796)]"
,"[(56.2096753, 54.7702717), (56.2086681, 54.7702641)]"
,"[(56.2096753, 54.7702717), (56.2107209, 54.7702796)]"
,"[(56.2096753, 54.7702717), (56.2080719, 54.7693311), (56.2061618, 54.768185), (56.2060014, 54.7680965)]"
,"[(56.2060014, 54.7680965), (56.2061618, 54.768185), (56.2080719, 54.7693311), (56.2096753, 54.7702717)]"
,"[(56.2086681, 54.7702641), (56.2096753, 54.7702717)]"
,"[(56.2086681, 54.7702641), (56.2086258, 54.7702638), (56.2064019, 54.7705091), (56.2057118, 54.770115)]"
,"[(56.2086681, 54.7702641), (56.206767, 54.769114), (56.205738, 54.7684946)]"
,"[(56.205738, 54.7684946), (56.206767, 54.769114), (56.2086681, 54.7702641)]"
,"[(56.2024763, 54.7726546), (56.2026242, 54.7727157)]"
,"[(56.2024763, 54.7726546), (56.2020984, 54.7724986)]"
,"[(56.2024763, 54.7726546), (56.2026114, 54.7724477), (56.2035382, 54.77192), (56.2038873, 54.7716666), (56.2045433, 54.7713472), (56.2054702, 54.771066), (56.2072156, 54.7707118), (56.2083049, 54.7705834), (56.209617, 54.7705695), (56.2108997, 54.7705932)]"
,"[(56.2108997, 54.7705932), (56.210935, 54.7705938), (56.2111354, 54.7705533)]"
,"[(56.2108997, 54.7705932), (56.209617, 54.7705695), (56.2083049, 54.7705834), (56.2072156, 54.7707118), (56.2054702, 54.771066), (56.2045433, 54.7713472), (56.2038873, 54.7716666), (56.2035382, 54.77192), (56.2026114, 54.7724477), (56.2024763, 54.7726546)]"
,"[(56.2108997, 54.7705932), (56.2109712, 54.7709202), (56.2108448, 54.7710035), (56.2092619, 54.7709931), (56.207691, 54.7710764), (56.2060419, 54.7713923), (56.2048141, 54.7717846), (56.2039595, 54.772229), (56.2036586, 54.7724165), (56.2030299, 54.7728774)]"
,"[(56.2030299, 54.7728774), (56.2026242, 54.7727157)]"
,"[(56.2030299, 54.7728774), (56.2037668, 54.7731712), (56.2039955, 54.7731685)]"
,"[(56.2030299, 54.7728774), (56.2036586, 54.7724165), (56.2039595, 54.772229), (56.2048141, 54.7717846), (56.2060419, 54.7713923), (56.207691, 54.7710764), (56.2092619, 54.7709931), (56.2108448, 54.7710035), (56.2109712, 54.7709202), (56.2108997, 54.7705932)]"
,"[(56.2039955, 54.7731685), (56.2041084, 54.7731672), (56.2048543, 54.773521), (56.2054881, 54.7736812)]"
,"[(56.2039955, 54.7731685), (56.2037668, 54.7731712), (56.2030299, 54.7728774)]"
,"[(56.2039955, 54.7731685), (56.2042905, 54.7727497), (56.2044831, 54.7725866)]"
,"[(56.2044831, 54.7725866), (56.2054881, 54.7736812)]"
,"[(56.2044831, 54.7725866), (56.2042905, 54.7727497), (56.2039955, 54.7731685)]"
,"[(56.2044831, 54.7725866), (56.2049044, 54.7723088), (56.2049488, 54.7722904)]"
,"[(56.2054881, 54.7736812), (56.2044831, 54.7725866)]"
,"[(56.2054881, 54.7736812), (56.2059837, 54.7738065), (56.2063875, 54.7738535)]"
,"[(56.2054881, 54.7736812), (56.2048543, 54.773521), (56.2041084, 54.7731672), (56.2039955, 54.7731685)]"
,"[(56.2063875, 54.7738535), (56.2049488, 54.7722904)]"
,"[(56.2063875, 54.7738535), (56.2067784, 54.773899), (56.2072338, 54.7738877)]"
,"[(56.2063875, 54.7738535), (56.2059837, 54.7738065), (56.2054881, 54.7736812)]"
,"[(56.2049488, 54.7722904), (56.2063875, 54.7738535)]"
,"[(56.2049488, 54.7722904), (56.2055243, 54.7720519)]"
,"[(56.2049488, 54.7722904), (56.2049044, 54.7723088), (56.2044831, 54.7725866)]"
,"[(56.2072338, 54.7738877), (56.2079147, 54.7738709)]"
,"[(56.2072338, 54.7738877), (56.2055243, 54.7720519)]"
,"[(56.2072338, 54.7738877), (56.2067784, 54.773899), (56.2063875, 54.7738535)]"
,"[(56.2055243, 54.7720519), (56.2072338, 54.7738877)]"
,"[(56.2055243, 54.7720519), (56.20606, 54.7718436)]"
,"[(56.2055243, 54.7720519), (56.2049488, 54.7722904)]"
,"[(56.2079844, 54.773863), (56.2086909, 54.7737831)]"
,"[(56.2079844, 54.773863), (56.2079147, 54.7738709)]"
,"[(56.2079844, 54.773863), (56.2072757, 54.7730796), (56.20606, 54.7718436)]"
,"[(56.20606, 54.7718436), (56.206698, 54.7716701)]"
,"[(56.20606, 54.7718436), (56.2055243, 54.7720519)]"
,"[(56.20606, 54.7718436), (56.2072757, 54.7730796), (56.2079844, 54.773863)]"
,"[(56.206698, 54.7716701), (56.2086909, 54.7737831)]"
,"[(56.206698, 54.7716701), (56.20606, 54.7718436)]"
,"[(56.206698, 54.7716701), (56.207047, 54.7715138), (56.2073058, 54.7714513)]"
,"[(56.2086909, 54.7737831), (56.2079844, 54.773863)]"
,"[(56.2086909, 54.7737831), (56.206698, 54.7716701)]"
,"[(56.2086909, 54.7737831), (56.2089813, 54.7737502), (56.209354, 54.7736947)]"
,"[(56.2073058, 54.7714513), (56.2080401, 54.7713333)]"
,"[(56.2073058, 54.7714513), (56.2089609, 54.7732392), (56.209354, 54.7736947)]"
,"[(56.2073058, 54.7714513), (56.207047, 54.7715138), (56.206698, 54.7716701)]"
,"[(56.209354, 54.7736947), (56.210062, 54.7735892)]"
,"[(56.209354, 54.7736947), (56.2089813, 54.7737502), (56.2086909, 54.7737831)]"
,"[(56.209354, 54.7736947), (56.2089609, 54.7732392), (56.2073058, 54.7714513)]"
,"[(56.210062, 54.7735892), (56.209354, 54.7736947)]"
,"[(56.210062, 54.7735892), (56.2102222, 54.7735653), (56.2106165, 54.7734048)]"
,"[(56.210062, 54.7735892), (56.2090031, 54.7724442), (56.2080401, 54.7713333)]"
,"[(56.2080401, 54.7713333), (56.2073058, 54.7714513)]"
,"[(56.2080401, 54.7713333), (56.2087744, 54.7712673)]"
,"[(56.2080401, 54.7713333), (56.2090031, 54.7724442), (56.210062, 54.7735892)]"
,"[(56.2087744, 54.7712673), (56.2106165, 54.7734048)]"
,"[(56.2087744, 54.7712673), (56.2080401, 54.7713333)]"
,"[(56.2087744, 54.7712673), (56.2095568, 54.7713159)]"
,"[(56.2106165, 54.7734048), (56.2111664, 54.773181)]"
,"[(56.2106165, 54.7734048), (56.2087744, 54.7712673)]"
,"[(56.2106165, 54.7734048), (56.2102222, 54.7735653), (56.210062, 54.7735892)]"
,"[(56.2111664, 54.773181), (56.2106165, 54.7734048)]"
,"[(56.2111664, 54.773181), (56.2113585, 54.7731028), (56.2118253, 54.7728908)]"
,"[(56.2111664, 54.773181), (56.2101165, 54.7720138), (56.2095568, 54.7713159)]"
,"[(56.2095568, 54.7713159), (56.2087744, 54.7712673)]"
,"[(56.2095568, 54.7713159), (56.2101165, 54.7720138), (56.2111664, 54.773181)]"
,"[(56.2095568, 54.7713159), (56.2100985, 54.771375), (56.2104174, 54.771552), (56.2107725, 54.7717013), (56.2110012, 54.771861), (56.2118253, 54.7728908)]"
,"[(56.2118253, 54.7728908), (56.2119162, 54.7728495), (56.2117001, 54.7724715), (56.211728, 54.7721337), (56.2118116, 54.7719085), (56.211491, 54.7714783), (56.2116443, 54.7711324), (56.2115258, 54.7707062), (56.2111354, 54.7705533)]"
,"[(56.2118253, 54.7728908), (56.2113585, 54.7731028), (56.2111664, 54.773181)]"
,"[(56.2118253, 54.7728908), (56.2110012, 54.771861), (56.2107725, 54.7717013), (56.2104174, 54.771552), (56.2100985, 54.771375), (56.2095568, 54.7713159)]"
,"[(56.1479716, 54.6982695), (56.1483899, 54.6982958), (56.1490937, 54.6982759), (56.1497283, 54.6982074), (56.1506376, 54.6979796), (56.1511043, 54.6979083), (56.1516908, 54.6983869), (56.1519922, 54.6986018), (56.1524013, 54.6986922), (56.1539415, 54.6985957), (56.1551903, 54.6984802), (56.1553746, 54.6984596), (56.1561699, 54.6983838), (56.1566514, 54.698356)]"
,"[(56.072203, 54.8146777), (56.0751486, 54.8138162)]"
улица Ульяновых,"[(56.072203, 54.8146777), (56.0722209, 54.8146991), (56.072239, 54.8147207), (56.0722621, 54.8147484), (56.0722825, 54.8147728)]"
улица Ульяновых,"[(56.072203, 54.8146777), (56.0711312, 54.8133956), (56.0705494, 54.8126996), (56.0703132, 54.8124071), (56.0700655, 54.8121003), (56.0699463, 54.8117535)]"
улица Маяковского,"[(56.0770329, 54.8132652), (56.0753543, 54.8113)]"
,"[(56.0770329, 54.8132652), (56.0751486, 54.8138162)]"
улица Маяковского,"[(56.0770329, 54.8132652), (56.0770627, 54.8133001), (56.0771, 54.8133437)]"
,"[(56.0751486, 54.8138162), (56.0770329, 54.8132652)]"
,"[(56.0751486, 54.8138162), (56.072203, 54.8146777)]"
,"[(56.0751486, 54.8138162), (56.0741485, 54.8128183)]"
"['улица Валерия Лесунова', 'бульвар Баландина']","[(56.1332986, 54.7810229), (56.1338938, 54.7810225), (56.1348966, 54.7810219), (56.1367063, 54.7810208), (56.1373887, 54.7810204), (56.1376643, 54.7810202), (56.1383702, 54.7810197), (56.1384496, 54.7810197), (56.1385169, 54.7810196), (56.1385633, 54.7810229), (56.1385993, 54.7810296), (56.138629, 54.7810432), (56.1386448, 54.7810652), (56.1386449, 54.7810981), (56.1386489, 54.7821546), (56.1386535, 54.7833883), (56.1386554, 54.7838742), (56.1386619, 54.7841675), (56.1386815, 54.7843405), (56.1387043, 54.7845323), (56.1387768, 54.7849503), (56.1387956, 54.7850682), (56.1388359, 54.7852736), (56.1388967, 54.7855646), (56.1389314, 54.7857204), (56.1389913, 54.7859932), (56.1390268, 54.7861817), (56.1390614, 54.786373), (56.1390846, 54.786488), (56.1390989, 54.7865723), (56.1391478, 54.78686), (56.1391902, 54.7873376), (56.1391959, 54.7878311), (56.1391993, 54.7879159), (56.1392044, 54.7880538)]"
бульвар Баландина,"[(56.1332986, 54.7810229), (56.1325833, 54.7810234), (56.1322675, 54.7810235)]"
Таджикская улица,"[(56.1332986, 54.7810229), (56.1332836, 54.7808742), (56.1332298, 54.7803774), (56.1331679, 54.7798287), (56.1331332, 54.7796931), (56.1321655, 54.7797401), (56.1319729, 54.7797222)]"
улица Ферина,"[(56.1312874, 54.7796854), (56.1313098, 54.7808092), (56.1313094, 54.7810241)]"
улица Ферина,"[(56.1312874, 54.7796854), (56.1312875, 54.7796451), (56.1312905, 54.779508)]"
,"[(56.1312874, 54.7796854), (56.1314186, 54.7796908), (56.1317548, 54.7796882), (56.1319729, 54.7797222)]"
Большая Шелководная улица,"[(56.0012173, 54.7426339), (56.0003493, 54.7427318)]"
Большая Шелководная улица,"[(56.0012173, 54.7426339), (56.0017708, 54.7425714), (56.0025588, 54.7425314)]"
,"[(56.0012173, 54.7426339), (56.0011497, 54.7423672), (56.0017424, 54.7423068)]"
,"[(56.0017424, 54.7423068), (56.0011497, 54.7423672), (56.0012173, 54.7426339)]"
Большая Шелководная улица,"[(56.0073324, 54.7411352), (56.0072339, 54.7411941)]"
Большая Шелководная улица,"[(56.0073324, 54.7411352), (56.0077757, 54.7408656), (56.0079636, 54.7407514)]"
,"[(56.0073324, 54.7411352), (56.0076572, 54.7414156), (56.0076867, 54.741459), (56.0076679, 54.7415085), (56.0075526, 54.7415952), (56.0072763, 54.7417237), (56.0072173, 54.7417532)]"
,"[(56.0072173, 54.7417532), (56.0072763, 54.7417237), (56.0075526, 54.7415952), (56.0076679, 54.7415085), (56.0076867, 54.741459), (56.0076572, 54.7414156), (56.0073324, 54.7411352)]"
Двинский переулок,"[(56.0073912, 54.7402937), (56.0079636, 54.7407514)]"
