street,coordinates
Уфимское шоссе,"[(56.0872687, 54.8106528), (56.0869832, 54.8102943), (56.0868621, 54.8101374)]"
Интернациональная улица,"[(56.0872687, 54.8106528), (56.0870694, 54.8106716), (56.0867095, 54.8106489), (56.0862796, 54.8106172)]"
Интернациональная улица,"[(56.0872687, 54.8106528), (56.0875117, 54.8106017), (56.0875723, 54.810589), (56.0876561, 54.8105713), (56.0878936, 54.8104989), (56.0884306, 54.8103477), (56.0915418, 54.8094716), (56.0924179, 54.8092252), (56.0950995, 54.8084135), (56.0953467, 54.8083439), (56.0964669, 54.8080299), (56.0975872, 54.80773), (56.097743, 54.8076839)]"
улица Александра Невского,"[(56.0872687, 54.8106528), (56.0874454, 54.810846), (56.0880413, 54.811542), (56.0883751, 54.8119318), (56.0884173, 54.8119811), (56.0888853, 54.8125278), (56.0894942, 54.813232), (56.0895809, 54.8133299)]"
улица Рихарда Зорге,"[(55.9855052, 54.7497497), (55.9852842, 54.749576), (55.9847616, 54.7491654)]"
улица Рихарда Зорге,"[(55.9855052, 54.7497497), (55.985719, 54.7499227), (55.9861096, 54.7502295), (55.9863145, 54.7503921), (55.9866387, 54.7506495)]"
улица им. города Галле,"[(55.9855052, 54.7497497), (55.9857402, 54.7496461), (55.9867314, 54.7492292), (55.9880603, 54.748665), (55.9900247, 54.7478311), (55.990313, 54.7477086), (55.9916698, 54.7471156), (55.9926258, 54.7467082)]"
улица им. города Галле,"[(55.9855052, 54.7497497), (55.9853551, 54.7498045), (55.9853074, 54.7498219), (55.9852342, 54.7498486), (55.984693, 54.7500711)]"
улица 50 лет СССР,"[(55.9972134, 54.7590461), (55.9974312, 54.7589547), (55.9984498, 54.7585272), (55.9997987, 54.7579611), (56.0006191, 54.7576168), (56.0011304, 54.7574022), (56.0018684, 54.7570925), (56.0023785, 54.7568784), (56.0027262, 54.7567325), (56.0036149, 54.7563595), (56.0038423, 54.7562641), (56.0043732, 54.7560422)]"
улица Рихарда Зорге,"[(55.9972134, 54.7590461), (55.9969464, 54.7588314), (55.9964313, 54.7584226), (55.9953134, 54.7575353), (55.9947231, 54.7570668), (55.9938535, 54.7563765), (55.9936673, 54.7562287)]"
улица Рихарда Зорге,"[(55.9972134, 54.7590461), (55.9974171, 54.7592105), (55.998514, 54.7600768), (55.9999403, 54.7611844), (56.0000589, 54.7612752), (56.0011678, 54.7621118), (56.0018024, 54.7626141), (56.003157, 54.7637135), (56.0032637, 54.7637994)]"
,"[(55.9972134, 54.7590461), (55.9970353, 54.759115), (55.9969898, 54.7591326), (55.9968363, 54.759192)]"
Тоннельная улица,"[(56.0533647, 54.8095128), (56.0539502, 54.8099328)]"
Интернациональная улица,"[(56.0533647, 54.8095128), (56.0540771, 54.8097354), (56.0544104, 54.809844)]"
улица им. города Галле,"[(55.977156, 54.7489071), (55.9763964, 54.7488687), (55.9760365, 54.7488743), (55.9758343, 54.7488834), (55.9755911, 54.7489056), (55.9753478, 54.7489428), (55.9751204, 54.7489567)]"
улица им. города Галле,"[(55.977156, 54.7489071), (55.9773012, 54.748941), (55.9774595, 54.7489804), (55.9778162, 54.7491021), (55.978343, 54.7493759), (55.9791007, 54.7497836), (55.9797789, 54.750146), (55.9798434, 54.7501706), (55.980082, 54.7502577)]"
улица Кирова,"[(55.9766345, 54.7267721), (55.9764586, 54.726801), (55.9748962, 54.727043)]"
Айская улица,"[(55.9766345, 54.7267721), (55.9765846, 54.7266704), (55.9764246, 54.7263317)]"
улица Кирова,"[(55.9766345, 54.7267721), (55.9769268, 54.7267246), (55.9772831, 54.7266689)]"
Айская улица,"[(55.9766345, 54.7267721), (55.9766862, 54.7268831), (55.9768783, 54.7273365)]"
Революционная улица,"[(55.9867229, 54.7303427), (55.9865879, 54.730353)]"
,"[(55.9867229, 54.7303427), (55.9868936, 54.7302687), (55.987592, 54.7301639), (55.9877319, 54.7301529)]"
Революционная улица,"[(55.9867229, 54.7303427), (55.9869543, 54.7303616), (55.987372, 54.7304406), (55.9875636, 54.7304774)]"
Революционная улица,"[(55.9839606, 54.7307778), (55.9826408, 54.7309826)]"
улица Подводника Родионова,"[(55.9839606, 54.7307778), (55.9838896, 54.7306281), (55.9837543, 54.7303173), (55.9833402, 54.7293929), (55.983316, 54.7293388), (55.9831185, 54.7288979), (55.9830827, 54.7288166), (55.9828146, 54.7282271), (55.9822588, 54.7270053), (55.9821777, 54.726827), (55.9818384, 54.7260892), (55.9817763, 54.7259542)]"
Революционная улица,"[(55.9839606, 54.7307778), (55.9852494, 54.7305555), (55.9863659, 54.7303824), (55.9864102, 54.7303765), (55.9865879, 54.730353)]"
улица Кирова,"[(55.9817763, 54.7259542), (55.9804638, 54.726163)]"
улица Кирова,"[(55.9817763, 54.7259542), (55.9819498, 54.7259252)]"
улица Подводника Родионова,"[(55.9817763, 54.7259542), (55.9818384, 54.7260892), (55.9821777, 54.726827), (55.9822588, 54.7270053), (55.9828146, 54.7282271), (55.9830827, 54.7288166), (55.9831185, 54.7288979), (55.983316, 54.7293388), (55.9833402, 54.7293929), (55.9837543, 54.7303173), (55.9838896, 54.7306281), (55.9839606, 54.7307778)]"
улица 50 лет СССР,"[(56.0294889, 54.7438756), (56.0292791, 54.7438956)]"
"['улица Менделеева', 'Менделеева улица']","[(56.0294889, 54.7438756), (56.0295666, 54.7441285), (56.0312153, 54.7495008), (56.0312451, 54.7496295), (56.0313637, 54.7499975), (56.0313997, 54.7501268), (56.0314128, 54.7501777)]"
улица 50 лет СССР,"[(56.0279402, 54.7439983), (56.0278029, 54.7440578), (56.0276828, 54.7441568), (56.0267213, 54.7450755)]"
улица 50 лет СССР,"[(56.0279402, 54.7439983), (56.0287906, 54.7439324), (56.0288779, 54.7439256), (56.0290102, 54.7439153), (56.0290904, 54.7439091), (56.0292791, 54.7438956)]"
